row_index,mol_id,mol_name,target,E_HOMO_eV,E_LUMO_eV,HOMO_LUMO_gap_eV,dipole_total_D,chemical_potential_eV,hardness_eV,electrophilicity_eV,electronegativity_eV,softness_inv_eV,q_mulliken_min,q_mulliken_max,q_mulliken_range,quadrupole_aniso_au,xtb_Gsolv_water_Eh,xtb_gap_eV,PIC50
0,Mol_1,1SJ0-anthra-Active10th,ESR1,-7.104993510752752,-2.913979407406126,4.191014103346626,0.772374613084889,-5.009486459079439,2.095507051673313,5.98780008009549,5.009486459079439,0.47721146974975615,-0.17054762671995505,0.1289883428197438,0.29953596953969885,71.3964238449834,-0.012500948292,1.815053950612,5.613732958
1,Mol_2,1SJ0-anthra-Active11th,ESR1,-7.275442012806035,-3.142467740512897,4.132974272293138,1.4201561947616712,-5.208954876659466,2.066487136146569,6.56505681367812,5.208954876659466,0.48391300507426593,-0.1662156631622267,0.13161367316026595,0.29782933632249264,54.23708504564353,-0.011443331193,1.822347814172,5.422244027
2,Mol_3,1SJ0-anthra-Active12th,ESR1,-5.056614396656488,-2.5271465814971497,2.529467815159338,3.2877415490231106,-3.791880489076819,1.264733907579669,5.684341013263979,3.791880489076819,0.7906801533562958,-0.2630273553477931,0.1338466820728097,0.3968740374206028,61.870135583586865,-0.026524001902,1.278070584381,5.420216403
3,Mol_4,1SJ0-anthra-Active13th,ESR1,-7.187729341497688,-3.000939608808476,4.186789732689212,1.4744654416129144e-05,-5.094334475153082,2.093394866344606,6.198602127569439,5.094334475153082,0.47769296470386213,-0.16738427979008463,0.129709337124849,0.29709361691493363,66.02703236959252,-0.011808194684,1.804741474156,5.394662625
4,Mol_5,1SJ0-anthra-Active14th,ESR1,-6.704840784089958,-3.3163867306448527,3.3884540534451055,1.2397416417551914,-5.010613757367405,1.6942270267225528,7.409352415445477,5.010613757367405,0.5902396693166201,-0.34189692941452954,0.3219804814198097,0.6638774108343393,57.06911476822109,-0.0226174228,1.676618017211,5.313301183
5,Mol_6,1SJ0-anthra-Active15th,ESR1,-6.576649421015012,-3.2261441378351154,3.3505052831798965,1.3380094433578076,-4.901396779425063,1.6752526415899482,7.170169380111523,4.901396779425063,0.5969248907143464,-0.22730867256102982,0.19660084415048062,0.42390951671151045,29.349909648180805,-0.035492296686,1.658121790716,5.299997603
6,Mol_7,1SJ0-anthra-Active16th,ESR1,-6.216228990120075,-2.487947223762211,3.728281766357864,3.124497252382726,-4.352088106941143,1.864140883178932,5.08026809064959,4.352088106941143,0.5364401419568103,-0.3640158716652948,0.3191819514920411,0.6831978231573359,130.45380172967168,-0.066998141636,1.704862979745,5.250001023
7,Mol_8,1SJ0-anthra-Active17th,ESR1,-7.112748451006587,-3.640347223616721,3.4724012273898657,8.548020171553196,-5.376547837311653,1.7362006136949328,8.324863618548376,5.376547837311653,0.575970306721542,-0.23329776578268735,0.24139554119274553,0.4746933069754329,105.55194545511449,-0.049686637535,1.863400095876,5.165579296
8,Mol_9,1SJ0-anthra-Active18th,ESR1,-6.4435351533938805,-2.9861111601724546,3.457423993221426,3.214954984591631,-4.714823156783168,1.728711996610713,6.4295144140035285,4.714823156783168,0.5784653556871157,-0.23240496153930046,0.1956687786037532,0.42807374014305366,79.9145109567125,-0.024638402458,1.725329910531,5.163739197
9,Mol_10,1SJ0-anthra-Active19th,ESR1,-6.8120213029616465,-2.930073686379267,3.8819476165823796,1.397465718870646,-4.8710474946704565,1.9409738082911898,6.112164830349872,4.8710474946704565,0.515205303507103,-0.1734875488731351,0.2147105989031015,0.3881981477762366,52.76663465723733,-0.019795987794,1.842958113457,5.099999035
10,Mol_11,1SJ0-anthra-Active1st,ESR1,-5.003550973292535,-2.8583494071821525,2.1452015661103827,5.60913483695251,-3.930950190237344,1.0726007830551914,7.203224928716045,3.930950190237344,0.9323133227178936,-0.3874887876272375,0.2320408782327812,0.6195296658600187,82.31280735170796,-0.035101896732,1.023147332302,5.099999035
11,Mol_12,1SJ0-anthra-Active20th,ESR1,-6.936945085514304,-3.0752815385072534,3.8616635470070504,0.8940512168558089,-5.006113312010779,1.9308317735035252,6.489734330199475,5.006113312010779,0.5179115103256686,-0.1674002222776405,0.12590964213417255,0.29330986441181306,68.44303626711425,-0.01484846526,1.658469749951,5.017733291
12,Mol_13,1SJ0-anthra-Active2nd,ESR1,-5.99489318533844,-2.9441626097162796,3.0507305756221603,5.826018157676889,-4.46952789752736,1.5253652878110802,6.5481625242181005,4.46952789752736,0.6555806717189779,-0.3763731582771932,0.3308582808779965,0.7072314391551897,88.10578312151976,-0.042959093779,1.005940371013,5.013743456
13,Mol_14,1SJ0-anthra-Active3rd,ESR1,-5.860880878661072,-2.73241843906791,3.1284624395931617,2.8489111498016433,-4.2966496588644905,1.5642312197965809,5.901045209103137,4.2966496588644905,0.6392916771793138,-0.24900174521249951,0.13204523554649117,0.3810469807589907,68.46190838355514,-0.020410414108,1.654267378624,5.008773924
14,Mol_15,1SJ0-anthra-Active4th,ESR1,-5.760657918875192,-2.710508783402882,3.05014913547231,4.655814488463717,-4.235583351139037,1.525074567736155,5.881734147293815,4.235583351139037,0.6557056429604068,-0.3941546523521282,0.30354288053265766,0.6976975328847859,56.511852587434724,-0.056840385338,1.347413832317,4.973740554
15,Mol_16,1SJ0-anthra-Active5th,ESR1,-6.051661203192349,-2.658579692541503,3.3930815106508465,3.305687038967676,-4.355120447866926,1.6965407553254233,5.58992587000671,4.355120447866926,0.5894347052147204,-0.18537209441778124,0.12599700745731202,0.31136910187509326,100.70333626621867,-0.023929420419,1.848702269286,4.925066593
16,Mol_17,1SJ0-anthra-Active6th,ESR1,-6.630738257950115,-2.7887102196043037,3.842028038345811,2.6241135023324285,-4.709724238777209,1.9210140191729055,5.773383792085971,4.709724238777209,0.5205584082257511,-0.1803319640856138,0.21547599550629393,0.39580795959190773,76.2715792333319,-0.02936959632,1.910683214901,4.913739855
17,Mol_18,1SJ0-anthra-Active7th,ESR1,-7.474614824044382,-3.3011131283376756,4.173501695706706,3.056262232862847,-5.387863976191029,2.086750847853353,6.9555688106702585,5.387863976191029,0.4792138941880402,-0.21729870195921208,0.22625816558639755,0.44355686754560963,99.20723076739466,-0.021283009519,1.844545265017,4.849999245
18,Mol_19,1SJ0-anthra-Active8th,ESR1,-7.108525859391723,-2.9162335327598163,4.192292326631907,0.733443123987677,-5.01237969607577,2.0961461633159537,5.992890824437626,5.01237969607577,0.4770659687290467,-0.17054988697443463,0.12933423330336424,0.29988412027779887,71.65046589863086,-0.013152946391,1.820963703069,4.775065718
19,Mol_20,1SJ0-anthra-Active9th,ESR1,-6.459578390494597,-3.0561620597661387,3.4034163307284584,0.6525343936270945,-4.757870225130368,1.7017081653642292,6.651354662312755,4.757870225130368,0.5876448267414658,-0.3531173639479146,0.24035148670189344,0.593468850649808,84.47138104249218,-0.025120738699,1.812672439577,4.701088003
20,Mol_21,1SJ0-cocrystal,ESR1,-6.887808883820132,-3.7342467008494187,3.1535621829707137,30.660335131640174,-5.311027792334776,1.5767810914853568,8.944493425013384,5.311027792334776,0.6342034448535793,-0.33952103675258094,0.3206613756974592,0.6601824124500402,589.2245809819452,-0.112815790296,2.635652799557,4.349999603
21,Mol_22,2OUZ-cocrystal,ESR1,-7.5689286471974375,-3.519987161504244,4.048941485693193,24.789226957999045,-5.544457904350841,2.0244707428465967,7.592358042649151,5.544457904350841,0.49395626167158424,-0.37652382796464323,0.2479954431111775,0.6245192710758207,363.3852960655834,-0.097829636117,3.334481967528,4.300000202
22,Mol_23,3ERT-cocrystal,ESR1,-7.36402068105282,-3.2552396383432005,4.108781042709619,24.791656838132855,-5.309630159698011,2.0543905213548097,6.861444340724182,5.309630159698011,0.4867623704477227,-0.4029075952634944,0.2539080689544919,0.6568156642179863,356.9498526934482,-0.100761957795,2.843992169929,4.16374173
23,Mol_24,6GGB-10thActive,ESR1,-4.369028004648039,-2.163604847482504,2.2054231571655354,1.306057893182405,-3.2663164260652717,1.1027115785827677,4.8375401158368385,3.2663164260652717,0.9068554456326874,-0.34878260460587107,0.12853109708007926,0.47731370168595033,74.149982214344,-0.032077945094,1.107977854075,4.100000128
24,Mol_25,6GGB-11thActive,ESR1,-7.070671379175797,-2.890769464244678,4.179901914931119,1.05575624902043,-4.980720421710238,2.0899509574655597,5.934966040859888,4.980720421710238,0.47848012721441047,-0.2830968368783866,0.13786286037978623,0.42095969725817284,70.35345554824886,-0.012468900573,1.803090925747,4.04999997
25,Mol_26,6GGB-12thActive,TP53,-7.26573766924361,-3.9566243095831344,3.309113359660476,7.137418917572859,-5.611180989413373,1.654556679830238,9.514739651948496,5.611180989413373,0.6043915038937213,-0.3280400037559943,0.24135686585652572,0.56939686961252,76.11175463591115,-0.040283016704,1.801408934741,3.95
26,Mol_27,6GGB-13thActive,ESR1,-6.457088508602745,-4.251058348823509,2.206030159779236,8.738307353812326,-5.354073428713127,1.103015079889618,12.994428998613799,5.354073428713127,0.9066059188420823,-0.15294367206431936,0.21024731661957397,0.3631909886838933,30.56182752530742,-0.021578289749,0.572299589513,5.59
27,Mol_28,6GGB-14thActive,TP53,-5.895400080155838,-3.176922945440095,2.718477134715743,3.4604700552919105,-4.536161512797967,1.3592385673578715,7.569223594864313,4.536161512797967,0.7357060224856846,-0.4876777575432225,0.957315301493125,1.4449930590363476,95.5050679696182,-0.035327753704,1.174100288102,5.39
28,Mol_29,6GGB-15thActive,TP53,-6.501964913581712,-3.114086515860132,3.38787839772158,2.2038621871564463,-4.808025714720921,1.69393919886079,6.823477279752536,4.808025714720921,0.5903399606506073,-0.35030172517895686,0.2424128105619605,0.5927145357409174,35.90391135631882,-0.024219785871,1.804102088667,5.499996932
29,Mol_30,6GGB-16thActive,TP53,-6.233725668086122,-2.989749843714159,3.243975824371963,0.7785465095759837,-4.6117377559001405,1.6219879121859815,6.5561910077774375,4.6117377559001405,0.6165274059609251,-0.25220812499730094,0.19690469812408928,0.4491128231213902,90.03101301866384,-0.024065651436,1.802177439967,5.499996932
30,Mol_31,6GGB-17thActive,TP53,-6.051668183080951,-2.658602470710585,3.393065712370366,3.305658506189262,-4.355135326895768,1.696532856185183,5.589990092565931,4.355135326895768,0.589437449651636,-0.1853677643299978,0.12598729600642322,0.311355060336421,100.70270338826815,-0.023915693153,1.848701765391,5.199998172
31,Mol_32,6GGB-18thActive,TP53,-5.905713973175407,-2.492363062573871,3.4133509106015363,0.7009830097061205,-4.199038517874639,1.7066754553007681,5.165576272815023,4.199038517874639,0.5859344826774752,-0.17476617610862633,0.11265792323398882,0.28742409934261515,143.04644561920756,-0.040000258086,1.814025945738,5.099999035
32,Mol_33,6GGB-19thActive,TP53,-6.405885166516767,-2.6860984896178577,3.7197866768989094,1.1179705122468184,-4.545991828067312,1.8598933384494547,5.555706145515724,4.545991828067312,0.5376652409721916,-0.17364020528028057,0.17232613330659663,0.3459663385868772,98.21565638825771,-0.035068215788,1.656759637947,5.0
33,Mol_34,6GGB-1stActive,TP53,-5.049203163321294,-2.5237632382187503,2.5254399251025434,3.2987300433645745,-3.786483200770022,1.2627199625512717,5.6772108840131805,3.786483200770022,0.7919412297715978,-0.263317148730593,0.13391425180181915,0.3972314005324121,61.95027315728679,-0.026589320794,1.275853769645,5.0
34,Mol_35,6GGB-20thActive,TP53,-6.576666197800008,-3.2262085071274207,3.350457690672587,1.3378543164234278,-4.901437352463715,1.6752288453362936,7.170389940158832,4.901437352463715,0.596933369899833,-0.22730636237875856,0.19661740632054914,0.4239237686993077,29.348883544594127,-0.035533834058,1.658122013355,5.0
