model,seed,n_params,n_neurons,r2_train,rmse_train,r2_test,rmse_test,r2_holdout,rmse_holdout
DNN-1 Initial,0,94817,672,0.6712213865166459,0.7719483065307775,0.3013235025325477,1.315521079906335,-0.18337193296371002,0.9322097147960255
DNN-1 Initial,1,94817,672,0.6561984736485647,0.7893876711979231,0.1327434706956626,1.465661005743189,-0.9993601510661314,1.2117094871852117
DNN-1 Initial,2,94817,672,0.8572618886431599,0.5086351998657415,0.48506060746056934,1.1293740447703333,0.18901508880747508,0.7717193311919449
DNN-1 Initial,3,94817,672,0.29231971123206946,1.132543752264084,0.03706296250582797,1.544396077993645,-1.0932502242163458,1.2398340673734063
DNN-1 Initial,4,94817,672,-0.8145241946217379,1.8135010889222563,-1.5010258461198691,2.4889652564644758,-2.716221007684754,1.6519760977524414
DNN-2 Regularised,0,269697,1216,-0.663975968645081,1.7366406558869507,-0.8829582566922325,2.159633673768383,-3.013158518381763,1.716706887390132
DNN-2 Regularised,1,269697,1216,0.6181600143175412,0.8319115262068051,0.43026681793961397,1.1879427228380965,0.4345422514021118,0.64439635040537
DNN-2 Regularised,2,269697,1216,0.06610045862550795,1.301027630768118,-0.21726992397057332,1.7364136462755937,-2.2161901392786434,1.5368229955985595
DNN-2 Regularised,3,269697,1216,0.5206942596985646,0.9320576044568981,0.4348573217129986,1.1831472459268828,0.17369969985064737,0.7789721796931538
DNN-2 Regularised,4,269697,1216,0.3475018783264969,1.0874920027449777,0.15924534498003606,1.443093214706686,-1.1863576943005443,1.2671079036629271
DNN-3 Optimised,0,674817,2112,0.31194802057179116,1.1167271201790028,0.3203712546134396,1.297464888871102,-0.32714809794866784,0.9872171395221311
DNN-3 Optimised,1,674817,2112,0.7153132327390659,0.7183235079006355,0.6374870823104664,0.947592222999071,-0.058935747110784975,0.8818359440307757
DNN-3 Optimised,2,674817,2112,0.6212507482743341,0.8285378074681304,0.2197005063467533,1.390242007343635,-0.8338088777941526,1.1604596055539227
DNN-3 Optimised,3,674817,2112,0.657659456088906,0.7877086365462098,0.4907057156325699,1.1231665103223543,0.6005063708325287,0.5416364976742718
DNN-3 Optimised,4,674817,2112,0.36543715754801953,1.0724418618162892,0.42957567331056046,1.188663052465919,-0.20987909461718357,0.9425924972343074
DNN-4 Fine-tuned,0,566721,1792,0.6743966893510113,0.7682115721900088,0.4654391386675857,1.1506899590220119,-0.30539147587512194,0.9790917214445248
DNN-4 Fine-tuned,1,566721,1792,0.765925624497494,0.6513484375244082,0.6845207750188679,0.8839854708515626,0.13115534998967715,0.7987742532280308
DNN-4 Fine-tuned,2,566721,1792,0.678833768737139,0.762959309786477,0.34779703422779873,1.271016326123491,-0.03870416375068486,0.8733713243741812
DNN-4 Fine-tuned,3,566721,1792,0.4149129143882716,1.0297853166843316,0.3855429557763582,1.2336884763832392,-1.6614526655904696,1.3980167200596607
DNN-4 Fine-tuned,4,566721,1792,0.5024828149688234,0.9495995109238996,0.42907742228617207,1.1891820725032223,0.2280388386133474,0.7529232663943074
